"","row","column","cor","p"
"1","roll1.et","roll15.et",0.875870009830962,0
"2","roll15.Precip","roll30.Precip",0.744831528492618,0
"3","A_MF_dsm_100","A_MF_dsm_60",0.748778925825182,0
"4","DINF_dsm_100","DINF_dsm_60",0.70810907185,0
"5","N_dsm_300","N_S_dsm_300",0.774401559768767,0
"6","N_dsm_500","N_S_dsm_500",0.844896197756972,0
"7","N_S_dsm_300","N_S_dsm_500",0.704854097109115,0
"8","N_dsm_60","N_S_dsm_60",0.756016247754738,0
"9","N_S_dsm_300","N_S_dsm_60",0.716774863356959,0
"10","A_MF_dsm_100","NTWI_MF_dsm_100",0.942705435178871,0
"11","A_MF_dsm_60","NTWI_MF_dsm_100",0.732258791314014,0
"12","A_MF_dsm_100","NTWI_MF_dsm_60",0.713276948896205,0
"13","A_MF_dsm_60","NTWI_MF_dsm_60",0.940411822819137,0
"14","NTWI_MF_dsm_100","NTWI_MF_dsm_60",0.787420852053154,0
"15","S_dsm_100","S_dsm_60",0.884287162520575,0
"16","C_Pro_dsm_100","TPI_1_3_100",0.721530062973288,0
"17","C_Pro_dsm_300","TPI_1_3_300",0.734384151066014,0
"18","TPI_1_3_100","TPI_3_7_100",0.800988809599107,0
"19","TPI_1_3_300","TPI_3_7_100",0.718701267548041,0
"20","TPI_1_3_300","TPI_3_7_300",0.73793733144811,0
"21","ed_100","ed_60",0.778326201774158,0
"22","g_100","g_300",0.742820710033328,0
"23","g_100","g_60",0.894271224461787,0
"24","g_300","g_60",0.728263938809295,0
"25","ed_100","nir_100",0.942186685761648,0
"26","ed_60","nir_100",0.746946626469604,0
"27","ed_300","nir_300",0.94397586617117,0
"28","nir_100","nir_300",0.709875540888634,0
"29","ed_100","nir_60",0.765424885960776,0
"30","ed_60","nir_60",0.935436006224777,0
"31","nir_100","nir_60",0.827417587711922,0
"32","g_100","r_100",0.833724857434834,0
"33","g_60","r_100",0.790581617192225,0
"34","g_300","r_300",0.816111753706068,0
"35","r_100","r_300",0.881059349075157,0
"36","g_100","r_60",0.758967665438404,0
"37","g_60","r_60",0.836120429040584,0
"38","r_100","r_60",0.949083869230172,0
"39","r_300","r_60",0.889390198831186,0
"40","r_100","ttvi_100",0.75593288814041,0
"41","r_300","ttvi_100",0.724357018966269,0
"42","r_60","ttvi_100",0.741917997247785,0
"43","r_100","ttvi_300",0.702504944076063,0
"44","r_300","ttvi_300",0.762101657307701,0
"45","r_60","ttvi_300",0.712687837041135,0
"46","ttvi_100","ttvi_300",0.935204812347236,0
"47","r_100","ttvi_60",0.739073568657949,0
"48","r_300","ttvi_60",0.732182359367965,0
"49","r_60","ttvi_60",0.764279462311726,0
"50","ttvi_100","ttvi_60",0.969916334666177,0
"51","ttvi_300","ttvi_60",0.938555064221683,0
